食物,别名,特征,分类,Wiki百科,热量(千卡),硫胺素(毫克),钙(毫克),蛋白质(克),核黄素(毫克),镁(毫克),脂肪(克),烟酸(毫克),铁(毫克),碳水化合物(克),维生素C(毫克),锰(毫克),膳食纤维(克),维生素E(毫克),锌(毫克),维生素A(微克),胆固醇(毫克),铜(毫克),胡罗卜素(微克),钾(毫克),磷(毫克),视黄醇当量(微克),钠(毫克),硒(微克),备注
全脂加糖奶粉,Empty,Empty,乳类,http://www.foodbk.com/wiki/%E5%85%A8%E8%84%82%E5%8A%A0%E7%B3%96%E5%A5%B6%E7%B2%89,490.0,0.42,495.0,22.5,0.26,81.0,23.4,0.4,0.7,47.4,0.0,0.08,0.0,0.27,2.3,183.0,0.0,0.07,5.5,841.0,1018.0,1.2,450.8,7.45,Empty
全脂牛奶粉,Empty,Empty,乳类,http://www.foodbk.com/wiki/%E5%85%A8%E8%84%82%E7%89%9B%E5%A5%B6%E7%B2%89,478.0,0.11,676.0,20.1,0.73,79.0,21.2,0.9,1.2,51.7,4.0,0.09,0.0,0.48,3.14,141.0,110.0,0.09,4.7,449.0,469.0,2.3,260.1,11.8,Empty
全脂速溶奶粉,Empty,Empty,乳类,http://www.foodbk.com/wiki/%E5%85%A8%E8%84%82%E9%80%9F%E6%BA%B6%E5%A5%B6%E7%B2%89,466.0,0.08,659.0,19.9,0.8,73.0,18.9,0.5,2.9,54.0,7.0,0.05,0.0,1.29,2.16,272.0,71.0,0.12,4.9,541.0,571.0,2.3,247.6,7.98,Empty
全脂羊乳粉,Empty,Empty,乳类,http://www.foodbk.com/wiki/%E5%85%A8%E8%84%82%E7%BE%8A%E4%B9%B3%E7%B2%89,498.0,0.06,0.0,18.8,1.6,0.0,25.2,0.9,0.0,49.0,0.0,0.0,0.0,0.2,0.0,0.0,75.0,0.0,5.6,0.0,0.0,1.4,0.0,0.0,Empty
酸奶,Empty,均值,乳类,http://www.foodbk.com/wiki/%E9%85%B8%E5%A5%B6,72.0,0.03,118.0,2.5,0.15,12.0,2.7,0.2,0.4,9.3,1.0,0.02,0.0,0.12,0.53,26.0,15.0,0.03,0.8,150.0,85.0,84.7,39.8,1.71,Empty
酸奶,Empty,高蛋白,乳类,http://www.foodbk.com/wiki/%E9%85%B8%E5%A5%B6,62.0,0.07,161.0,3.2,0.08,15.0,2.2,0.1,0.0,7.3,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.7,135.0,52.0,86.6,43.0,1.7,Empty
酸奶,Empty,脱脂,乳类,http://www.foodbk.com/wiki/%E9%85%B8%E5%A5%B6,57.0,0.02,146.0,3.3,0.1,10.0,0.4,0.1,0.1,10.0,1.0,0.02,0.0,0.0,0.51,0.0,18.0,0.01,0.8,156.0,91.0,85.5,27.7,1.46,Empty
酸奶,Empty,中脂,乳类,http://www.foodbk.com/wiki/%E9%85%B8%E5%A5%B6,64.0,0.02,81.0,2.7,0.13,10.0,1.9,0.1,0.0,9.0,1.0,0.01,0.0,0.13,0.68,32.0,12.0,0.01,0.6,130.0,59.0,85.8,13.0,0.74,Empty
酸奶,Empty,果料,乳类,http://www.foodbk.com/wiki/%E9%85%B8%E5%A5%B6,67.0,0.03,140.0,3.1,0.19,11.0,1.4,0.1,0.4,10.4,2.0,0.03,0.0,0.69,0.56,19.0,15.0,0.04,0.7,111.0,90.0,84.4,32.5,0.98,Empty
酸奶,Empty,桔味，脱脂,乳类,http://www.foodbk.com/wiki/%E9%85%B8%E5%A5%B6,48.0,0.02,89.0,3.2,0.21,11.0,0.3,0.1,0.2,8.2,5.0,0.01,0.0,0.03,0.27,1.0,15.0,0.01,0.7,128.0,73.0,87.6,2.6,0.73,Empty
奶酪,干酪,Empty,乳类,http://www.foodbk.com/wiki/%E5%A5%B6%E9%85%AA,328.0,0.06,799.0,25.7,0.91,57.0,23.5,0.6,2.4,3.5,0.0,0.16,0.0,0.6,6.97,152.0,11.0,0.13,3.8,75.0,326.0,43.5,584.6,1.5,Empty
奶豆腐,Empty,脱脂,乳类,http://www.foodbk.com/wiki/%E5%A5%B6%E8%B1%86%E8%85%90,343.0,0.03,360.0,53.7,0.27,25.0,2.5,0.4,12.4,26.5,1.0,0.17,0.0,0.0,1.81,0.0,36.0,0.21,2.6,188.0,773.0,14.7,55.4,7.2,Empty
奶豆腐,Empty,鲜,乳类,http://www.foodbk.com/wiki/%E5%A5%B6%E8%B1%86%E8%85%90,305.0,0.01,597.0,46.2,0.69,17.0,7.8,0.7,3.1,12.5,0.0,0.09,0.0,0.0,2.48,0.0,36.0,0.34,1.6,240.0,657.0,31.9,90.2,11.6,Empty
奶疙瘩,奶酪干，干酸奶,Empty,乳类,http://www.foodbk.com/wiki/%E5%A5%B6%E7%96%99%E7%98%A9,426.0,0.05,730.0,55.1,0.24,49.0,15.0,0.8,18.7,17.7,2.0,0.22,0.0,0.0,5.24,0.0,51.0,2.23,3.3,314.0,689.0,8.9,79.3,14.68,Empty
契达干酪,Empty,普通,乳类,http://www.foodbk.com/wiki/%E5%A5%91%E8%BE%BE%E5%B9%B2%E9%85%AA,412.0,0.03,720.0,25.5,0.4,25.0,34.4,0.1,0.3,0.1,0.0,0.0,0.0,0.53,2.3,363.0,100.0,0.03,0.0,77.0,490.0,36.0,670.0,12.0,Empty
契达干酪,Empty,脱脂,乳类,http://www.foodbk.com/wiki/%E5%A5%91%E8%BE%BE%E5%B9%B2%E9%85%AA,261.0,0.03,840.0,31.5,0.53,39.0,15.0,0.1,0.2,0.0,0.0,0.0,0.0,0.39,2.8,182.0,43.0,0.05,0.0,110.0,620.0,47.1,670.0,15.0,Empty
